0,3,0,0,0,0,2,0,6,0,9,0,255,255,1,0,16,0,1,0,0,0,3,0,10,0,18,0,255,255,1,0
0,1,0,1,0,0,3,0,11,0,10,0,0,0,1,0,16,0,2,0,0,0,3,0,6,0,4,0,1,0,1,0
0,1,0,1,0,0,4,0,4,0,2,0,1,0,1,0,4,0,2,0,1,0,3,0,2,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,6,0,8,0,255,255,1,0,15,0,1,0,0,0,3,0,10,0,18,0,255,255,1,0
0,1,0,1,0,0,3,0,11,0,10,0,255,255,1,0,17,0,2,0,0,0,4,0,7,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,4,0,2,0,1,0,1,0,4,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,5,0,7,0,255,255,1,0,12,0,0,0,0,0,2,0,9,0,17,0,254,255,1,0
0,1,0,1,0,0,3,0,11,0,10,0,255,255,1,0,17,0,2,0,0,0,4,0,7,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,4,0,2,0,1,0,1,0,4,0,2,0,1,0,3,0,2,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,5,0,7,0,255,255,1,0,12,0,0,0,0,0,2,0,9,0,17,0,254,255,1,0
0,1,0,1,0,0,3,0,11,0,11,0,255,255,1,0,18,0,2,0,0,0,4,0,7,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,4,0,2,0,1,0,1,0,4,0,2,0,1,0,3,0,2,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,3,0,255,255,0,2,0,5,0,7,0,255,255,1,0,12,0,1,0,1,0,2,0,10,0,17,0,254,255,1,0
0,1,0,1,0,0,3,0,12,0,12,0,255,255,1,0,18,0,2,0,0,0,3,0,8,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,5,0,3,0,1,0,1,0,5,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,4,0,6,0,255,255,1,0,10,0,1,0,1,0,2,0,10,0,17,0,255,255,1,0
0,1,0,0,0,0,3,0,12,0,12,0,255,255,1,0,19,0,3,0,0,0,3,0,8,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,5,0,3,0,1,0,1,0,5,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,4,0,5,0,255,255,1,0,9,0,0,0,1,0,2,0,10,0,16,0,254,255,1,0
0,1,0,0,0,0,3,0,12,0,13,0,255,255,1,0,19,0,3,0,0,0,3,0,8,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,5,0,3,0,0,0,1,0,5,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,4,0,5,0,0,0,1,0,9,0,0,0,1,0,2,0,9,0,16,0,254,255,1,0
0,1,0,0,0,0,3,0,12,0,14,0,255,255,0,0,19,0,2,0,0,0,3,0,8,0,5,0,1,0,1,0
0,1,0,1,0,0,4,0,5,0,3,0,0,0,1,0,5,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,3,0,5,0,0,0,1,0,8,0,1,0,1,0,2,0,9,0,16,0,255,255,1,0
0,1,0,0,0,0,3,0,12,0,13,0,255,255,0,0,19,0,2,0,0,0,3,0,8,0,6,0,1,0,1,0
0,1,0,1,0,0,4,0,5,0,3,0,0,0,1,0,6,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,3,0,4,0,0,0,1,0,7,0,1,0,1,0,2,0,9,0,15,0,255,255,1,0
0,1,0,0,0,0,3,0,12,0,13,0,255,255,0,0,19,0,2,0,0,0,3,0,8,0,6,0,1,0,1,0
0,1,0,1,0,0,4,0,6,0,3,0,0,0,1,0,6,0,2,0,1,0,4,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,3,0,255,255,0,1,0,3,0,4,0,0,0,1,0,7,0,1,0,1,0,2,0,9,0,15,0,255,255,1,0
0,1,0,0,0,0,3,0,12,0,14,0,255,255,0,0,19,0,2,0,0,0,3,0,9,0,6,0,1,0,1,0
0,1,0,1,0,0,4,0,6,0,3,0,0,0,1,0,7,0,2,0,1,0,4,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,3,0,3,0,0,0,1,0,6,0,0,0,1,0,2,0,9,0,14,0,254,255,1,0
0,2,0,0,0,0,3,0,12,0,14,0,255,255,0,0,19,0,2,0,0,0,3,0,9,0,6,0,1,0,1,0
0,1,0,1,0,0,4,0,6,0,3,0,0,0,1,0,7,0,2,0,1,0,4,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,2,0,3,0,255,255,1,0,6,0,0,0,0,0,2,0,9,0,14,0,255,255,1,0
0,2,0,0,0,0,3,0,13,0,14,0,255,255,0,0,19,0,2,0,0,0,3,0,9,0,6,0,1,0,1,0
0,1,0,1,0,0,4,0,6,0,3,0,0,0,1,0,7,0,2,0,1,0,4,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,2,0,3,0,255,255,1,0,6,0,0,0,0,0,2,0,8,0,13,0,255,255,1,0
0,2,0,0,0,0,3,0,13,0,14,0,255,255,0,0,20,0,2,0,0,0,3,0,10,0,7,0,1,0,1,0
0,1,0,1,0,0,4,0,7,0,4,0,0,0,1,0,7,0,2,0,1,0,4,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,2,0,3,0,255,255,1,0,6,0,0,0,0,0,2,0,7,0,12,0,255,255,1,0
0,2,0,0,0,0,3,0,13,0,14,0,255,255,1,0,20,0,3,0,0,0,3,0,10,0,7,0,1,0,1,0
0,1,0,1,0,0,4,0,7,0,4,0,0,0,1,0,7,0,2,0,1,0,3,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,2,0,2,0,255,255,1,0,5,0,0,0,0,0,2,0,7,0,11,0,254,255,1,0
0,2,0,0,0,0,3,0,13,0,14,0,255,255,1,0,20,0,3,0,0,0,3,0,10,0,7,0,1,0,1,0
0,1,0,1,0,0,4,0,7,0,4,0,0,0,1,0,8,0,2,0,1,0,3,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,255,255,0,1,0,2,0,2,0,0,0,1,0,5,0,0,0,0,0,2,0,7,0,11,0,255,255,1,0
0,2,0,1,0,0,3,0,14,0,15,0,255,255,1,0,20,0,3,0,0,0,4,0,11,0,8,0,1,0,1,0
0,1,0,1,0,0,4,0,7,0,4,0,0,0,1,0,9,0,2,0,1,0,3,0,4,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,2,0,2,0,255,255,1,0,4,0,0,0,0,0,2,0,7,0,10,0,255,255,1,0
0,2,0,1,0,0,4,0,15,0,15,0,255,255,1,0,20,0,3,0,0,0,4,0,11,0,9,0,1,0,1,0
0,1,0,1,0,0,4,0,8,0,4,0,0,0,1,0,9,0,2,0,1,0,4,0,5,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,2,0,2,0,0,0,1,0,4,0,0,0,1,0,2,0,6,0,9,0,255,255,1,0
0,2,0,1,0,0,4,0,15,0,15,0,255,255,0,0,20,0,3,0,0,0,4,0,12,0,10,0,1,0,1,0
0,1,0,1,0,0,4,0,8,0,4,0,0,0,1,0,10,0,2,0,1,0,3,0,5,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,2,0,2,0,0,0,1,0,3,0,255,255,0,0,2,0,5,0,9,0,0,0,1,0
0,2,0,1,0,0,4,0,15,0,16,0,255,255,0,0,21,0,3,0,0,0,4,0,12,0,11,0,1,0,1,0
0,1,0,1,0,0,4,0,8,0,4,0,0,0,1,0,10,0,2,0,1,0,3,0,5,0,2,0,0,0,2,0
0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0,2,0,5,0,8,0,0,0,1,0
0,2,0,1,0,0,4,0,15,0,16,0,255,255,0,0,21,0,3,0,0,0,4,0,13,0,11,0,1,0,1,0
0,1,0,1,0,0,4,0,7,0,4,0,0,0,1,0,11,0,2,0,1,0,3,0,5,0,2,0,0,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,1,0,1,0,255,255,1,0,3,0,0,0,0,0,2,0,5,0,8,0,0,0,1,0
0,2,0,1,0,0,4,0,15,0,16,0,255,255,0,0,21,0,3,0,0,0,4,0,13,0,12,0,1,0,1,0
0,1,0,1,0,0,4,0,9,0,5,0,0,0,1,0,12,0,2,0,1,0,3,0,6,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,1,0,2,0,0,0,1,0,3,0,0,0,1,0,2,0,4,0,7,0,0,0,1,0
0,2,0,1,0,0,4,0,15,0,16,0,255,255,1,0,21,0,4,0,0,0,4,0,13,0,13,0,1,0,1,0
0,1,0,1,0,0,4,0,9,0,5,0,0,0,1,0,12,0,2,0,1,0,3,0,6,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,1,0,2,0,2,0,4,0,7,0,0,0,1,0
0,2,0,0,0,0,4,0,15,0,16,0,255,255,1,0,21,0,3,0,0,0,4,0,13,0,13,0,0,0,1,0
0,1,0,1,0,0,4,0,9,0,5,0,0,0,1,0,12,0,2,0,1,0,3,0,6,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,0,2,0,2,0,4,0,6,0,0,0,1,0
0,2,0,0,0,0,4,0,14,0,15,0,255,255,1,0,21,0,3,0,0,0,4,0,13,0,14,0,0,0,1,0
0,1,0,1,0,0,5,0,10,0,6,0,0,0,1,0,14,0,2,0,1,0,4,0,6,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3,0,0,0,1,0,1,0,3,0,5,0,0,0,1,0
0,2,0,0,0,0,4,0,14,0,15,0,255,255,1,0,21,0,3,0,0,0,4,0,13,0,14,0,0,0,1,0
0,1,0,1,0,0,5,0,11,0,6,0,0,0,1,0,14,0,2,0,1,0,4,0,6,0,2,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3,0,0,0,1,0,1,0,3,0,4,0,0,0,1,0
0,2,0,0,0,0,4,0,14,0,15,0,255,255,1,0,20,0,3,0,0,0,4,0,13,0,15,0,0,0,0,0
0,1,0,1,0,0,5,0,11,0,6,0,0,0,1,0,14,0,2,0,1,0,4,0,7,0,3,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,255,255,0,0,1,0,3,0,3,0,0,0,1,0
0,2,0,0,0,0,3,0,13,0,14,0,255,255,1,0,19,0,3,0,0,0,4,0,13,0,15,0,0,0,0,0
0,1,0,1,0,0,5,0,11,0,6,0,0,0,1,0,16,0,2,0,1,0,4,0,7,0,3,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,3,0,0,0,1,0
0,2,0,0,0,0,3,0,12,0,13,0,255,255,1,0,19,0,3,0,0,0,4,0,14,0,16,0,0,0,0,0
0,1,0,1,0,0,5,0,12,0,6,0,0,0,1,0,17,0,2,0,1,0,4,0,7,0,3,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,3,0,0,0,1,0
0,2,0,0,0,0,3,0,12,0,13,0,255,255,1,0,18,0,3,0,0,0,4,0,14,0,16,0,0,0,0,0
0,1,0,1,0,0,5,0,12,0,6,0,0,0,1,0,18,0,2,0,1,0,4,0,7,0,3,0,1,0,2,0
0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,3,0,0,0,1,0
0,2,0,0,0,0,3,0,11,0,13,0,255,255,1,0,17,0,3,0,0,0,4,0,14,0,16,0,0,0,0,0
0,1,0,1,0,0,5,0,12,0,7,0,0,0,1,0,20,0,2,0,1,0,4,0,8,0,3,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0
0,2,0,0,0,0,3,0,11,0,12,0,255,255,1,0,16,0,3,0,0,0,4,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,5,0,12,0,7,0,0,0,0,0,21,0,2,0,1,0,4,0,8,0,3,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,3,0,1,0,1,0
0,2,0,0,0,0,3,0,10,0,11,0,255,255,1,0,15,0,3,0,0,0,4,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,4,0,12,0,7,0,255,255,0,0,22,0,2,0,1,0,4,0,8,0,3,0,1,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,255,255,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,3,0,1,0,0,0
0,2,0,0,0,0,3,0,10,0,11,0,255,255,0,0,14,0,2,0,0,0,4,0,14,0,16,0,0,0,1,0
0,1,0,1,0,0,5,0,13,0,8,0,255,255,0,0,25,0,2,0,1,0,3,0,7,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,3,0,1,0,1,0
0,2,0,0,0,0,3,0,9,0,10,0,255,255,0,0,14,0,2,0,0,0,4,0,15,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,14,0,8,0,255,255,0,0,26,0,2,0,1,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,3,0,0,0,1,0
0,3,0,0,0,0,3,0,9,0,10,0,0,0,0,0,13,0,2,0,0,0,4,0,15,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,15,0,9,0,0,0,0,0,27,0,2,0,1,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,3,0,0,0,1,0
0,3,0,0,0,0,3,0,9,0,9,0,0,0,0,0,12,0,2,0,0,0,4,0,16,0,19,0,0,0,0,0
0,1,0,1,0,0,5,0,16,0,10,0,0,0,0,0,29,0,2,0,1,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,255,255,1,0,2,0,0,0,1,0,1,0,2,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,8,0,8,0,0,0,1,0,12,0,2,0,1,0,4,0,16,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,15,0,10,0,0,0,0,0,30,0,2,0,1,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,255,255,1,0,2,0,1,0,2,0,1,0,2,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,7,0,8,0,0,0,0,0,11,0,2,0,0,0,4,0,16,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,15,0,10,0,0,0,0,0,31,0,2,0,1,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
0,0,0,255,255,0,0,0,0,0,0,0,255,255,1,0,1,0,0,0,1,0,1,0,2,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,7,0,8,0,0,0,0,0,10,0,2,0,0,0,4,0,16,0,18,0,0,0,0,0
0,2,0,1,0,0,4,0,15,0,11,0,255,255,1,0,33,0,3,0,0,0,4,0,8,0,3,0,0,0,2,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,0,0,255,255,0,0,0,0,0,0,0,255,255,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0
0,3,0,0,0,0,2,0,6,0,7,0,0,0,0,0,9,0,2,0,0,0,4,0,16,0,18,0,0,0,0,0
0,1,0,1,0,0,4,0,15,0,11,0,255,255,1,0,34,0,3,0,0,0,4,0,9,0,3,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,255,255,0,0,0,0,0,0,0,255,255,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,3,0,0,0,0,2,0,6,0,7,0,0,0,0,0,8,0,1,0,0,0,4,0,15,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,15,0,11,0,255,255,1,0,35,0,3,0,0,0,4,0,9,0,4,0,0,0,1,0
0,255,255,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,2,0,6,0,7,0,0,0,1,0,8,0,1,0,0,0,4,0,15,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,16,0,12,0,255,255,0,0,37,0,3,0,0,0,4,0,9,0,4,0,0,0,1,0
0,255,255,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,0,255,255,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,2,0,6,0,6,0,0,0,1,0,8,0,1,0,0,0,4,0,15,0,18,0,0,0,0,0
0,1,0,1,0,0,5,0,16,0,12,0,255,255,0,0,38,0,3,0,1,0,4,0,10,0,4,0,0,0,1,0
0,255,255,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,0,255,255,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,2,0,6,0,6,0,0,0,1,0,8,0,2,0,0,0,4,0,15,0,17,0,0,0,0,0
0,1,0,1,0,0,5,0,17,0,13,0,0,0,0,0,39,0,3,0,1,0,4,0,10,0,4,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,2,0,5,0,5,0,0,0,1,0,7,0,2,0,0,0,4,0,15,0,17,0,0,0,0,0
0,1,0,1,0,0,4,0,16,0,13,0,255,255,0,0,39,0,3,0,0,0,4,0,10,0,4,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,3,0,0,0,0,2,0,5,0,5,0,0,0,1,0,6,0,1,0,0,0,3,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,4,0,16,0,14,0,255,255,0,0,39,0,3,0,0,0,4,0,11,0,4,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,3,0,0,0,0,2,0,5,0,5,0,0,0,1,0,6,0,1,0,0,0,3,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,5,0,17,0,15,0,255,255,0,0,39,0,3,0,0,0,4,0,11,0,4,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,3,0,0,0,0,1,0,4,0,4,0,0,0,1,0,6,0,1,0,0,0,3,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,5,0,17,0,15,0,255,255,0,0,41,0,3,0,0,0,4,0,11,0,5,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,1,0,4,0,4,0,0,0,0,0,6,0,1,0,0,0,3,0,14,0,17,0,0,0,0,0
0,1,0,1,0,0,5,0,17,0,15,0,255,255,0,0,41,0,3,0,0,0,4,0,11,0,5,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,1,0,0,0,1,0
0,2,0,0,0,0,1,0,4,0,4,0,0,0,0,0,6,0,1,0,0,0,3,0,13,0,16,0,0,0,0,0
0,1,0,1,0,0,5,0,17,0,16,0,255,255,0,0,41,0,3,0,0,0,5,0,12,0,6,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,2,0,1,0,1,0
0,2,0,0,0,0,2,0,4,0,4,0,1,0,0,0,5,0,1,0,0,0,3,0,12,0,15,0,0,0,0,0
0,2,0,1,0,0,5,0,17,0,17,0,255,255,0,0,41,0,3,0,0,0,5,0,13,0,6,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,255,255,1,0,1,0,255,255,0,0,1,0,1,0,2,0,1,0,1,0
0,2,0,0,0,0,1,0,4,0,3,0,0,0,1,0,5,0,1,0,0,0,3,0,12,0,15,0,0,0,0,0
0,2,0,1,0,0,5,0,17,0,18,0,255,255,0,0,42,0,3,0,0,0,5,0,13,0,6,0,0,0,1,0
0,255,255,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,255,255,1,0,1,0,255,255,0,0,1,0,1,0,2,0,1,0,1,0
0,2,0,0,0,0,1,0,4,0,3,0,0,0,1,0,5,0,1,0,0,0,3,0,11,0,14,0,0,0,0,0
0,2,0,1,0,0,5,0,17,0,18,0,255,255,0,0,42,0,3,0,0,0,5,0,13,0,6,0,0,0,1,0
0,255,255,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,255,255,0,0,1,0,1,0,2,0,1,0,1,0
0,2,0,0,0,0,1,0,4,0,3,0,0,0,1,0,5,0,1,0,0,0,3,0,10,0,14,0,0,0,0,0
